"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"95","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"96","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"97","Non-Foundation Trusts",""," April 2013 ","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"98","Organisation Name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed"," Number of cases referred "," Number of cases with positive or inconclusive diagnostic assessment ","Percentage of cases referred"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"99","ISLE OF WIGHT NHS TRUST","R1F","0","0"," -   ","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"100","BARTS HEALTH NHS TRUST","R1H","284","1831","16%","8","47","17%","4","8","50%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"101","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","359","397","90%","160","176","91%","5","5","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"102","WALSALL HEALTHCARE NHS TRUST","RBK","385","410","94%","115","115","100%","24","24","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"103","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","361","393","92%","68","72","94%","24","25","96%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"104","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","382","393","97%","125","125","100%","31","31","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"105","BEDFORD HOSPITAL NHS TRUST","RC1","210","226","93%","11","11","100%","5","5","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"106","EALING HOSPITAL NHS TRUST","RC3","116","116","100%","6","6","100%","1","1","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"107","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","0","0"," -   ","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"108","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","50","435","11%","8","8","100%","2","2","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"109","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","869","1013","86%","125","256","49%","22","46","48%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"110","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","213","231","92%","11","19","58%","8","9","89%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"111","IPSWICH HOSPITAL NHS TRUST","RGQ","174","527","33%","36","36","100%","36","36","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"112","PORTSMOUTH HOSPITALS NHS TRUST","RHU","357","771","46%","57","75","76%","51","51","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"113","LEWISHAM HEALTHCARE NHS TRUST","RJ2","193","212","91%","51","51","100%","24","26","92%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"114","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","753","753","100%","239","239","100%","42","42","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"115","EAST CHESHIRE NHS TRUST","RJN","226","337","67%","4","93","4%","0","2","0%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"116","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","463","506","92%","71","71","100%","63","63","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"117","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","152","179","85%","23","24","96%","10","11","91%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"118","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","178","243","73%","19","19","100%","19","19","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"119","WYE VALLEY NHS TRUST","RLQ","188","202","93%","11","11","100%","7","7","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"120","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","262","291","90%","16","16","100%","7","7","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"121","DARTFORD AND GRAVESHAM NHS TRUST","RN7","213","236","90%","8","8","100%","10","11","91%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"122","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","3","345","1%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"123","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","Nil return","Nil return","N/A","Nil return","Nil return","N/A","Nil return","Nil return","N/A"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"124","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","171","182","94%","24","24","100%","20","20","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"125","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","14","325","4%","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"126","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","184","412","45%","7","7","100%","3","99","3%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"127","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","904","962","94%","128","137","93%","81","83","98%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"128","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","336","648","52%","331","335","99%","113","113","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"129","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","142","226","63%","25","25","100%","7","10","70%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"130","NORTH BRISTOL NHS TRUST","RVJ","557","617","90%","21","29","72%","16","31","52%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"131","BARNET AND CHASE FARM HOSPITALS NHS TRUST","RVL","318","576","55%","13","54","24%","5","5","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"132","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","240","388","62%","45","62","73%","17","23","74%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"133","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","55","414","13%","2","12","17%","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"134","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","562","733","77%","68","118","58%","10","11","91%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"135","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","482","533","90%","43","44","98%","36","36","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"136","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","618","789","78%","311","464","67%","58","58","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"137","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","740","1091","68%","259","286","91%","93","93","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"138","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","438","442","99%","59","59","100%","46","46","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"139","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","649","668","97%","13","14","93%","3","3","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"140","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","0","0"," -   ","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"141","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","62","729","9%","16","20","80%","9","9","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"142","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","0","0"," -   ","0","0"," -   ","0","0"," -   "," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"143","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","234","694","34%","47","52","90%","8","33","24%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"144","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","267","287","93%","65","65","100%","52","56","93%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"145","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","106","144","74%","28","28","100%","19","21","90%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"146","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","278","409","68%","113","195","58%","43","113","38%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"147","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","539","554","97%","170","178","96%","40","40","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"148","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","359","660","54%","59","68","87%","13","28","46%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"149","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","389","418","93%","288","300","96%","52","55","95%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"150","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","510","553","92%","101","101","100%","101","101","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"151","SOUTH LONDON HEALTHCARE NHS TRUST","RYQ","295","301","98%","50","50","100%","24","24","100%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"152","Total NHS Non-Foundation Trusts","Total"," 15,840 "," 23,802 ","67%"," 3,458 "," 4,205 ","82%"," 1,264 "," 1,542 ","82%"," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"153","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"154","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"155","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"156","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"157","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"158","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"159","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"160","","","","","","","","","","",""," April 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"161","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2"," 312 "," 335 ","93%"," 38 "," 40 ","95%"," 13 "," 14 ","93%"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"162","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","91","289","31%","0","0","-","0","0","-"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"163","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9"," 164 "," 397 ","41%"," -   "," 147 ","0%"," 4 "," 7 ","57%"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"164","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE"," 233 "," 233 ","100%"," 9 "," 9 ","100%"," 9 "," 9 ","100%"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"165","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ"," 359 "," 397 ","90%"," 142 "," 143 ","99%"," 104 "," 104 ","100%"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"166","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL"," 192 "," 219 ","88%"," 192 "," 192 ","100%"," 70 "," 70 ","100%"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"167","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS"," -   "," 255 ","0%"," -   "," -   "," -   "," -   "," -   "," -   "," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"168","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RAX"," Nil return "," Nil return ","N/A"," Nil return "," Nil return ","N/A"," Nil return "," Nil return ","N/A"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"169","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA"," 266 "," 399 ","67%"," 34 "," 34 ","100%"," 14 "," 14 ","100%"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"170","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD"," 225 "," 294 ","77%"," 19 "," 20 ","95%"," 17 "," 19 ","89%"," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"171","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ"," 34 "," 36 ","94%"," -   "," -   "," -   "," -   "," -   "," -   "," May 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
