"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","month","url"
"92","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF"," 236 "," 336 ","70%"," 56 "," 56 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"93","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4"," 112 "," 310 ","36%"," 3 "," 3 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"94","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB"," 710 "," 814 ","87%"," 107 "," 107 ","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"95","ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST","RJ7"," NOT IN MONTH "," NOT IN MONTH ","-"," NOT IN MONTH "," NOT IN MONTH ","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"96","","Total "," 30,973 "," 34,243 ","90.5%"," 6,140 "," 6,420 ","95.6%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"97","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"98","Non-Foundation Trusts",""," April 2015 ","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"99","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases with diagnostic assessment"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"100","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","654","709","92%","81","81","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"101","BARTS HEALTH NHS TRUST","R1H","567","762","74%","110","140","79%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"102","BEDFORD HOSPITAL NHS TRUST","RC1","220","238","92%","22","22","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"103","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","140","150","93%","32","32","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"104","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","361","400","90%","76","76","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"105","CROYDON HEALTH SERVICES NHS TRUST","RJ6","380","406","94%","59","61","97%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"106","DARTFORD AND GRAVESHAM NHS TRUST","RN7","154","171","90%","13","13","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"107","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","364","364","100%","130","130","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"108","EAST CHESHIRE NHS TRUST","RJN","267","276","97%","50","54","93%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"109","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","515","532","97%","144","148","97%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"110","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","388","478","81%","63","66","95%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"111","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","375","402","93%","67","72","93%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"112","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","159","167","95%","43","43","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"113","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","202","202","100%","41","41","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"114","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","496","534","93%","51","51","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"115","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","339","376","90%","197","215","92%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"116","IPSWICH HOSPITAL NHS TRUST","RGQ","405","405","100%","49","53","92%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"117","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"118","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","589","589","100%","32","32","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"119","LEWISHAM AND GREENWICH NHS TRUST","RJ2","621","621","100%","99","99","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"120","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","501","512","98%","84","84","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"121","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","286","339","84%","7","13","54%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"122","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","429","437","98%","139","139","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"123","NORTH BRISTOL NHS TRUST","RVJ","617","638","97%","28","36","78%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"124","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","388","638","61%","199","222","90%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"125","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","642","710","90%","337","361","93%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"126","LONDON NORTHWEST HEALTHCARE NHS TRUST","R1K","586","706","83%","74","75","99%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"127","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","283","314","90%","27","27","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"128","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","261","268","97%","50","50","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"129","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","1254","1538","82%","176","176","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"130","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","388","615","63%","296","345","86%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"131","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","455","487","93%","60","66","91%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"132","PORTSMOUTH HOSPITALS NHS TRUST","RHU","540","602","90%","194","194","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"133","PLYMOUTH HOSPITALS NHS TRUST","RK9","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"134","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","375","379","99%","48","48","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"135","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","341","502","68%","11","18","61%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"136","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"137","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","164","166","99%","20","21","95%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"138","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","532","567","94%","18","18","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"139","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","168","372","45%","10","10","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"140","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","364","377","97%","47","47","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"141","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","542","592","92%","75","87","86%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"142","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","256","348","74%","47","47","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"143","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","448","448","100%","27","27","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"144","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","189","199","95%","22","24","92%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"145","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","842","962","88%","277","284","98%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"146","UNIVERSITY HOSPITALS OF NORTH MIDLANDS","RJE","868","897","97%","152","179","85%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"147","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","480","499","96%","86","86","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"148","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","923","1011","91%","290","290","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"149","WALSALL HEALTHCARE NHS TRUST","RBK","344","372","92%","80","81","99%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"150","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","527","555","95%","26","27","96%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"151","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","223","232","96%","27","28","96%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"152","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"153","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","739","761","97%","201","216","93%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"154","WYE VALLEY NHS TRUST","RLQ","160","169","95%","5","5","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"155","","Total "," 22,311 "," 24,994 ","89.3%"," 4,499 "," 4,760 ","94.5%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"156","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"157","Community Service and Other Providers",""," April 2015 ","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"158","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases with diagnostic assessment"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"159","BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST","RYW","160","182","88%","66","68","97%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"160","HERTFORDSHIRE COMMUNITY NHS TRUST","RY4","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"161","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","RY9","1","3","33%","0","0","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"162","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST","RYY","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"163","LEEDS COMMUNITY HEALTHCARE NHS TRUST","RY6","46","53","87%","15","15","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"164","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST","RY5","5","37","14%","2","3","67%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"165","LIVERPOOL COMMUNITY HEALTH NHS TRUST","RY1","18","18","100%","0","0","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"166","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","RP1","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"167","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST","RH5","19","20","95%","9","10","90%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"168","TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST","R1G","265","325","82%","27","27","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"169","YOUR HEALTHCARE CIC","NNV","4","5","80%","1","1","100%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"170","","Total "," 518 "," 643 ","81%"," 120 "," 124 ","97%"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"171","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"172","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"173","","","","","","","","`"," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"174","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"175","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"176","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"177","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"178","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"179","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"180","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"181","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"182","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"183","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"184","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"185","","","","","","","",""," April 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"186","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","327","378","87%","37","40","93%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"187","AIREDALE NHS FOUNDATION TRUST","RCF","219","242","90%","31","34","91%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
